标题,关键字
居民小区燃气预测系统的设计与实现,"['燃气量预测', '燃气等级划分', 'LSTM模型', 'Xgboost模型']"
基于大数据技术的社会救援力量信息管理系统研究,"['社会力量', '灾后救援', '大数据技术', '多标签分类', '管理信息系统']"
基于云BIM的数据融合技术研究,"['云-BIM', '图形渲染引擎', 'LOD', '数据融合', '物资管理系统', '数据驱动']"
基于Django框架的发酵技术云服务器开发,"['Django框架', '毕赤酵母', '数据管理', '工艺控制', 'Python']"
船舶结构健康监测边缘计算节点的开发,"['边缘计算', '光纤光栅', '树莓派', '船舶结构', '健康监测']"
用于心律失常自动诊断的动态心电监测系统的研究,"['心律失常', '深度神经网络', '动态心电监测', '心电', '自动诊断', 'PyQT5', 'Django']"
废旧电子产品回收流程智能解析技术,"['废旧电子产品', '回收流程', '智能解析', '双层规划模型', '双边匹配模型', '模型封装']"
曲园社交读书APP的设计与实现,"['全民阅读', 'Django', '社交读书', 'uni-app']"
基于Django框架的高校网络安全培训智能平台的设计与实现,"['Web在线', 'MTV', '个性化推荐', '智能组卷', 'Django']"
关键词驱动的兼容APIs推荐系统,"['Web APIs推荐系统', '个性化需求', 'APIs兼容性', 'Mashup开发', '最小群SteinerTree']"
面向中小学生的个性化图书推荐系统设计与实现,"['协同过滤', '个性化图书推荐系统', 'Django', 'B/S架构']"
基于Django的一站式测试平台的设计与实现,"['测试平台', '测试用例优先级排序', '接口测试', '回归测试', 'Django']"
企业入侵检测系统的设计与实现,"['网络攻击', '攻防', '威胁狩猎', '情报']"
面向动态性和稳定性的路由异常分析系统的研究与实现,"['路由异常分析', '匿名节点', 'BGP', 'IP定位优化']"
面向康复医疗的信息管理系统的研究,"['康复医疗', '信息管理系统', '训练方案推荐', 'LSTM', 'MySQL']"
作物种植密度优化系统的设计与实现,"['产量密度模型', '在线优化', '遗传算法', 'Python语言', 'Django框架']"
西夏文献注译辅助识别系统平台设计,"['西夏文字', 'MySQL', '卷积神经网络', 'Django框架', 'JQuery', 'PHP']"
农业种植技术个性化推荐模型研究与系统实现,"['用户特征', '协同过滤', '农业种植技术', '个性化推荐', '相似度']"
高校学生工作管理平台的设计与实现,"['B/S', '管理平台', 'Django', 'DeepFM']"
基于改进AHP算法的高校教职工因公出访数据分析系统,"['因公出访活动评价', '多元决策融合', '基于知识图谱的个性化推荐', '网络爬虫', '改进AHP']"
基于Elasticsearch的建筑领域垂直搜索引擎的设计与实现,"['垂直搜索引擎', '中文分词', '网页排序', '邻接熵', '用户反馈']"
基于智能手机与微流控器件的定量分析POCT系统研究,"['POCT', '微流控芯片', '手机显微镜', '粒子个数', '微信小程序']"
基于深度学习的Android恶意应用检测系统设计与实现,"['Android', '深度学习', '自然语言处理', '恶意应用']"
固件安全分析系统的设计与实现,"['固件', '解包', '安全分析', '漏洞']"
基于Django的手机自动化测试平台,"['自动化测试平台', 'Django', 'Websocket', 'Celery']"
基于机器学习的风电短期功率预测的研究与实现,"['风电短期功率', 'SVM', '随机森林', 'LSTM', '预测系统']"
基于云平台的猪肉溯源系统设计与实现,"['溯源系统', '云平台', 'Django', 'Bootstrap']"
喀斯特地区重金属污染防控体系大数据平台的构建,"['重金属污染', 'WebGIS', 'django框架', 'Hadoop', 'PostgreSQL', '风险评价']"
基于关联规则的网络招聘信息挖掘与分析,"['关联规则', 'Apriori算法', 'FP-growth算法', 'Django', '文本分析']"
基于数据挖掘的慢性病预测研究与应用,"['特征选择', 'XGBoost', '多标签分类', '一维卷积神经网络', 'Django', '焦点损失函数']"
基于深度对抗哈希技术的跨模态检索系统的设计与实现,"['深度学习', '哈希转换', '对抗网络', '跨模态']"
基于文献挖掘的基因与布鲁氏菌病关联分析,"['文献挖掘', '命名实体识别', '关系提取', 'BERE']"
芸苔属作物变异的标记数据库的构建,"['芸薹属', '分子标记', '数据库', '生物信息学']"
基于算子共享的视频中台系统设计与实现,"['算子共享', '视频中台系统', 'MTCNN算法', 'Django']"
基于ELK Stack与Spark的日志实时分析系统的设计与实现,"['Spark', '日志分析', '分布式处理', '数据倾斜']"
基于图像识别技术的Web GUI自动化测试平台的研究与实现,"['图像识别', '回归测试', 'SIFT', 'Django Web框架']"
电影作者理论视域下的昆汀塔伦蒂诺电影研究,"['昆汀·塔伦蒂诺', '“电影作者”论', '后现代主义', '母题研究']"
基于移动边缘计算的视频业务QoS保障研究,"['移动边缘计算', '视频片段缓存', '图像超分辨', '视频传输']"
基于多模型融合的BGA焊点故障诊断及溯源方法研究,"['故障诊断', '多模型融合', '工艺分析', '故障溯源']"
智慧用电监控系统智能数据处理算法研究及系统研发,"['LoRa无线网络', '用电监控', '电弧故障']"
面向在线编程的微信公众号的设计与实现,"['微信平台', '在线编程', 'Django框架']"
大数据系统的网络计算联合优化,"['Coflow调度', '数据中心', '完成时间', '预测', 'reducer布置']"
基于角度预测的定向目标检测方法及其应用,"['卷积神经网络', '定向目标检测', '角度预测', '字符识别']"
基于Django框架的学术推荐系统设计与实现,"['合作网络', '随机游走', '推荐系统', 'Django框架']"
基于差分测试的深度学习算子稳定性分析技术,"['深度学习算子', '差分测试', '模糊测试', '变异策略', '模拟退火算法']"
疾病相关的基因组G四链体分析及数据库构建,"['G-四链体', '疾病', '数据库', '基因组浏览器']"
基于深度学习的事件抽取系统设计与实现,"['事件抽取', '图注意力神经网络', '数据增强', '生成对抗网络']"
基于图神经网络的文档情感分类系统的设计与实现,"['情感分析', '文本分类', '图神经网络', '关键词提取', '可视化系统']"
医用直线加速器质控数据分析与管理系统QAManager的功能设计与临床应用,"['医用直线加速器', '质量控制', '自动影像分析', '网页数据统计', '网络化管理']"
基于法律知识图谱的自动问答系统,"['自动问答', '知识图谱', '法律智能', '实体识别', '关系抽取']"
放射源移动检测系统的改进与实现,"['放射源', '寻源算法', '移动检测', '双源预测']"
问答系统中问句分类方法研究与实现,"['问答系统', '问句分类', '深度学习', '注意力机制']"
维吾尔文检测识别方法的研究与应用,"['光学字符识别', '深度学习', '维吾尔文检测', '维吾尔文识别', 'Django系统']"
面向新闻领域的端到端语音识别技术研发,"['语音识别', '资源建设', '深度学习', 'Conformer']"
基于机器学习的学生成绩分析与应用,"['数据挖掘', '聚类', '密度', '中心指标', '关联规则', '提升度', 'Django', '成绩分析']"
基于深度神经网络的学习资源个性化推荐模型构建与实现,"['深度学习', '学习资源', '个性化推荐', '模型构建', '推荐平台']"
数据质量驱动的司法文本扩增系统设计与实现,"['司法文本', '数据扩增', '数据质量', '自然语言处理']"
基于反洗钱规则的结构化测试数据生成系统设计与实现,"['反洗钱', '参数化组合规则', '结构化数据', '测试数据生成']"
面向图像识别的对抗样本检测和防御系统的设计与实现,"['深度学习', '对抗样本检测', '对抗防御', '鲁棒性', '数据集质量评估']"
基于业务监控数据的Web服务诊断系统设计与实现,"['Web服务诊断', '自动化测试', '业务监控', '异常检测', '缺陷定位']"
基于模糊测试的推荐模型质量分析系统的设计与实现,"['推荐模型', '模糊测试', '评估指标', '数据扩增']"
基于集成学习的蔬菜销售预测以昆明某超市为例,"['集成学习', '蔬菜销售预测', 'LightGBM', 'LSTM', '组合模型']"
面向教育的儿童绘画图像风格分类与描述生成评价研究,"['儿童绘画学习', '学习评价', '绘画风格分类', '绘画学习评价']"
盾构机刀盘焊接过程监管系统的研究与设计,"['刀盘', '自适应焊接', '分层规划', '控制终端', '监管平台']"
模拟组合投资及绩效分析系统的设计与实现,"['组合投资', '模拟组合投资', '绩效分析', '绩效归因', 'Brinson模型']"
基于测井数据的储层参数预测,"['储层参数', '测井数据', '卷积神经网络', '长短期记忆神经网络', '门控循环神经网络']"
人像图像编辑方法的研究与实现,"['人像', '抠图', '自动换装', '安卓应用']"
疾控中心设备管理系统的研究与开发,"['设备管理系统', 'Python语言', 'MVT模型框架', 'MySQL数据库']"
基于Python的实验耗材查询系统设计与实现,"['Python Django', '实验耗材', '查询系统设计']"
基于物联网和云架构的光伏发电运维系统研究,"['光伏发电', '远程监控', '物联网', '无线通信', '云服务']"
面向公共安全的铁路人员和异物检测算法研究与实现,"['公共安全', '目标检测', '差分算法', '语义分割', '异物入侵检测']"
基于Django的海外运营系统的设计与实现,"['海外运营', 'Python语言', 'Django框架', 'Stacking模型融合']"
以诗眼驱动的看图生成古诗词系统,"['自然语言处理', '文本生成', '看图写诗', '诗眼', '意象']"
肺结节交互式分割系统的设计与实现,"['智能医疗', '肺结节交互式分割', 'DICOM', 'Triton', '云PACS']"
基于OpenStack的网络靶场控制平台,"['网络靶场', 'OpenStack', '云计算', '虚拟化', '容器']"
浊度数据联动监控预警可视化系统的研究,"['浊度', 'Django', '数据可视化', '在线监控', '神经网络', '预警']"
智能停车场监管云平台的设计与实现,"['智能停车场监管平台', '云平台', '大数据', '可视化模型']"
城市停车位智能服务平台的设计与实现,"['停车平台', '空余停车位预测', '注意力机制', '循环神经网络', 'Django']"
证券知识图谱构建系统的设计与实现,"['知识图谱构建', '知识本体结构', '数据采集', '任务管理', '关系抽取', 'Docker部署']"
基于机器学习的坐姿监测系统,"['坐姿监测', '薄膜压力传感器', 'PoseNet', '机器学习']"
多源复杂特征的电梯成本数据表达及其价格预测,"['特征表达', '层次聚类', '数据知识表示', '成本估算', '机器学习']"
基于卷积神经网络的马匹躯干别征切割及识别方法研究,"['Mask R-CNN', '马匹外貌特征', '核对标签', '实例分割', '自动标记']"
融合混合推荐算法的马匹竞拍App设计与实现,"['马匹竞拍App', 'Flutter', 'Django Rest Framework', '混合推荐', '推荐质量']"
基于数字地球平台的多视图探索性可视化分析技术研究,"['协调的多视图(Coordinated Multiple Views', 'CMV)', '数字地球', 'Cesium', 'Google Earth Engine', '可视化分析']"
基于关联规则的火锅菜品个性化推荐算法与系统实现,"['火锅菜品', '关联规则', '个性化推荐']"
基于视频的检测与检索系统的设计与实现,"['卷积神经网络', '视频检测', '关键帧提取', 'Faiss检索']"
基于二维码密码保护技术的电子公文系统的设计与实现,"['QR码', 'Hash算法', 'RSA算法', '加密编码算法', '电子公文系统', '信息安全']"
面向知识库问答的实体及关系联合链接方法研究,"['知识库', '知识库问答', '实体链接', '关系链接']"
基于脉搏信号的情绪识别评估系统研制,"['脉搏波', '情绪识别', '心率变异性', '精神状态评估', '软件系统']"
基于开源WebGIS的稻麦生长信息卫星遥感监测系统设计与实现,"['开源WebGIS', '遥感监测', '稻麦生长信息', 'Geodjango']"
材料高通量计算与机器学习一体化平台设计与实现,"['高通量计算', '机器学习', '材料数据', 'MongoDB']"
基于评论大数据的智能在线课程评价系统设计,"['评论大数据', '课程评价', '深度学习', '情感分析', 'Django框架']"
基于深度神经网络的电子商务智能客服系统设计与实现,"['智能客服', '电子商务', '搜索引擎']"
潮汐与气象信息采集WEB应用,"['Django', '潮汐', '气象', 'Echarts']"
基于云的统一身份智能信息管理系统设计实现,"['信息管理系统', 'Docker容器技术', '物联网传输', '生物特征识别', '检索系统']"
大学物理实验成绩管理系统的设计与实现,"['成绩管理平台', '实验室教学', '物理实验', '实验操作能力']"
智慧供热室温监控平台研究与设计,"['监控平台', 'Django', 'GIS', '智慧供热', 'B/S架构']"
基于改进协同过滤和文本语义的网络课程推荐研究,"['网络课程推荐', 'pearson系数', '文本语义', '混合算法']"
Chemaid化工实验教学平台研究与设计,"['Chemaid', '雷诺实验', '化工实验', 'Django', '微信公众平台', '辅助教学']"
基于Django的马匹信息管理系统的设计,"['马场管理', 'Django', '档案管理', '疾病防控记录', '繁殖记录']"
一种近距离集群传感网络物联网信息采集系统设计研究方法,"['客车安全带状态监测传感网络', 'RFID', '低功耗', '信息管理']"
面向Multiprog的软件自动化测试平台设计与实现,"['测试数据生成', '自动化测试平台', '大漠插件', '正交法']"
基于树莓派的辅导员学生管理系统设计,"['树莓派', '语音识别', 'Python', '辅导员学生工作管理系统', '微信']"
基于Django框架的美多商城系统设计与实现,"['Django框架', 'web服务', '商城设计']"
基于vuejs的学术科技活动线上交流的设计与实现,"['前端', '网站开发', '交流社区', 'vue.js', 'Django']"
Django框架CSRF防御实现机制浅析,"['CSRF攻击', 'Django', '防御机制', '中间件']"
基于Django的实验室故障申报系统的设计与实现,"['Django', '故障报修', '系统设计']"
开源软件许可证推荐系统的设计与实现,"['开源', '开源软件许可证', '推荐', 'Django Web']"
深度学习在circRNA识别中的研究与应用,"['cricRNA', '深度学习', '长短时记忆网络', '文本卷积', 'Transformer', 'ELMo']"
基于微信小程序的数字图像处理平台的研究和实现,"['微信小程序', 'python', 'opencv', 'animeGAN', 'Django', 'darknet-ocr', 'ResNet']"
车载电控单元远程标定与测试系统软件开发,"['UDS协议', '远程测试', 'TCP/IP', 'Django框架']"
江西省乡村旅游云平台设计与应用研究,"['乡村旅游', '大数据', '云平台', '爬虫技术', 'Hadoop', '示范应用']"
基于特性不一致性的图像拼接检测研究,"['图像拼接篡改检测', '误差水平分析法', '拼接篡改定位', '光响应不一致性', '相机噪声特征']"
针对轴承企业的工业APP及数据中台开发,"['工业APP', '数据中台', 'Django', '工业软件']"
后现代语境下的类型创新21世纪以来美国西部片研究,"['西部片', '后现代', '类型片', '西进运动']"
基于物联网的智慧教室数据分析控制系统研究与实践,"['物联网', '环境监测', '云平台', '机器学习', '远程监控']"
一种Python ORM框架性能测试分析方法研究,"['Python', 'ORM', '数据库', '性能测试']"
论吉普赛爵士乐的音乐特征及其文化意义以詹戈莱因哈特的创作为例,"['吉普赛爵士乐', '詹戈·莱因哈特', '“拉砰砰”', '吉普赛音阶']"
基于多算法融合的Logo识别定位系统设计,"['图像识别', '目标定位', '机器学习', '图像处理', '系统设计']"
基于Python的就业趋势可视化分析系统,"['Python', '爬虫', '可视化']"
基于Django印刷体维吾尔文识别系统的设计与实现,"['卷积循环神经网络', '门控循环单元', '连接时序分类器', '印刷体维吾尔文']"
船舶光伏发电系统故障远程诊断方法研究,"['船舶光伏发电系统', '故障远程诊断', '概率神经网络', '布谷鸟搜索', '小波分析', 'Django框架']"
基于深度学习的短视频多模态检索关键技术的研究,"['动作识别', '双流膨胀3D卷积网络(I3D)', 'Django', 'MySQL', '光流']"
基于深度强化学习的敏捷成像卫星任务规划方法,"['敏捷成像卫星', '任务规划问题', '组合优化', 'Pointer Networks', '深度强化学习']"
宁夏联通固移融合在网有礼系统的设计与实现,"['运营商', '融合业务', '固移融合', '系统设计']"
基于AIOps的智能告警分析系统的设计与实现,"['智能运维', '告警分析', '异常检测', '深度学习', 'Django']"
融合用户画像的学习资源推荐平台的设计与实现,"['用户画像', '推荐算法', '在线教育', 'Django', '学习资源推荐']"
三跨输电线路智慧巡检中的车辆检测技术研究,"['图像处理', '车辆检测', '车流量统计', '卷积神经网络', '输电线路巡检', '软件平台']"
面向染色体信息数据的交互式处理识别系统研究,"['Django', '交互式图像处理', '矢量图形处理API', '染色体分类识别']"
基于Nodejs与REST风格的医保定点零售药店履约考核系统,"['医保监管', '零售药店', '考核系统', 'Vue', 'Django', 'RESTful']"
基于Django的用户信息管理系统,"['信息管理', '数据库', 'Django关系代数', '查询']"
基于Django的校园疫情防控系统设计与实现,"['Django', '校园疫情防控', '健康报送', '轨迹分析', '决策支持']"
基于WEB挖掘的高校网络日志BI系统的设计与实现,"['Web挖掘', 'Pandas', '可视化', 'Django']"
基于姿态估计的FMS评测技术研究与实现,"['功能性动作筛查', 'Alphapose', '长短期记忆神经网络', '姿态估计']"
面向工程教育认证的Web开发技术课程改革实践,"['工程教育认证', 'Web开发技术', '课程改革', '教学研究']"
共享经济视角下校园二手物品发布平台设计与实现,"['大学生市场', '闲置物品', '共享经济', 'B/S结构', '二手物品发布平台']"
MVC框架在Python与Django下的设计研究,"['Python', 'Django', 'MVC', 'Web开发']"
一种对话机器人开发技术综述与系统架构实现,"['微服务', 'Django', 'MySQL', 'Redis']"
一种基于Django的高考排名预测系统,['nan']
基于云架构的水慧通平台关键技术及应用研究,"['云架构', '水利全业务', '水慧通平台', '应用研究']"
校园二手教材网络交易平台的构建方法研究,"['Django', 'Python', '网站开发', '校园二手教材']"
基于Docker容器的信息安全攻防平台,"['Docker', '信息安全', '网络安全', '攻防平台']"
基于Django的小型规模化猪场管理系统的设计与实现,"['规模化猪场', '管理系统', 'Django框架', 'Python', 'SQLite数据库', '信息化']"
基于Django的设备维护管理系统开发实践,"['设备管理系统', '信息化', 'Django']"
基于Django的个人博客系统设计开发,['nan']
光伏智能云平台远程监控系统设计,"['光伏智能云平台', '远程监控', '参数传输', '实时展示', '系统设计', '系统测试']"
基于深度学习的微博文本情感分类研究与应用,"['词向量', '卷积神经网络', '双向长短时记忆网络', '注意力机制', '文本情感分类']"
面向比特币应用的区块链数据异常检测系统设计,"['比特币', '区块链', '异常检测', '无监督学习', 'web界面系统']"
面向机电工程的智能物资管理系统研究,"['数据流模型', '约束模型', '统一建模语言', 'Django', 'Nginx+uWSIG']"
风险控制测试平台研究,"['风控测试平台', 'Django', 'mock']"
图像识别技术在药品管理系统中的应用,"['智能识别', '药品管理', '机器视觉']"
基于华为云的数据挖掘和展示系统研究,"['华为云', '数据', '挖掘']"
综合任务处理系统测试平台的设计与验证,"['航电系统', '综合任务处理系统', '测试平台', 'Python', 'Django']"
基于迁移学习的草莓果实白粉病识别研究与应用,"['草莓果实白粉病', '迁移学习', '卷积神经网络', '病害识别', 'Django']"
基于OpenFlow协议的SDN路由算法的研究与实现,"['数据中心', '软件定义网络', 'Fat-Tree', 'Q-learning', 'Django']"
面向相关性排序的专利检索系统的研究与实现,"['专利检索', '聚合分析', '相关性排序', '搜索引擎']"
基于Django的物品租赁管理系统的设计,"['物品租赁', '软件开发', 'Django']"
edX平台集成Django WebSSH应用开发研究,"['WebSSH', 'WebSocket', 'Django', 'edX']"
基于Django的机票预订信息系统设计,"['机票预订', 'Django', '云服务器']"
基于Django的交通设施运维管理系统设计,"['Python', 'Django', 'Linux', 'SQLite', '运维管理']"
基于GIS的道路标线管理系统设计,"['道路标线', 'GIS', 'OpenLayers', 'Django', '信息管理系统']"
基于Django的交通信号灯状态实时监测系统设计,"['交通信号灯', '实时状态', '监测系统', 'Django框架', '数据管理']"
基于FNN和Django的智能家庭温室系统的设计,"['FNN', '传感器', 'LoRa', 'STM32', '智能灌溉', 'Django']"
浅水域风载荷作用下船舶运动预测系统的设计与开发,"['浅水效应', '数学建模', '风载荷', 'Web开发']"
基于fMRI的阿尔兹海默症诊断系统的设计与实现,"['fMRI', '阿尔兹海默症', '轻度认知障碍', '支持向量机', '逻辑回归', '人工神经网络']"
面向气象Web应用的数据库访问性能优化及应用,"['气象数据', 'Web数据库', '性能优化']"
通用型毕赤酵母高密度培养策略的网络共享技术,"['毕赤酵母', '高密度培养', '控制策略', 'Django框架', '网络共享']"
基于Django的智能在线考试平台的设计与实现,"['在线考试系统', '遗传算法', '智能组卷', '系统开发', 'Django框架']"
基于国产操作系统Django应用的设计与实现,"['国产操作系统', '中标麒麟', 'Django', 'Python', 'Web应用']"
租房多属性决策支持系统的设计,"['多属性决策模型', '决策支持系统', 'TOPSIS', 'Django']"
基于Django的IT运维管理平台的设计与实现,"['IT运维管理', 'Django框架', 'ansible工具']"
基于Flask的分布式Web服务架构研究与应用,"['Web服务', 'Python', 'Flask']"
教室使用率自动检测与查询系统设计,"['人数检测', '传感器', 'ESP8266', '微信小程序开发']"
基于Django的分布式爬虫框架设计与实现,"['分布式', '爬虫框架', '任务队列', '自动重新载入']"
基于VISA和Django的自动化测试系统的设计与实现,"['测试系统', '自动化', 'VISA', 'Django', 'Python']"
基于Django的学生公寓门禁系统敏捷开发,"['敏捷开发', 'Django', 'DevOps']"
具有选择性局部注意力和前序信息解码器的代码生成模型,"['代码生成', '抽象语法树', '包含前序信息的长短期记忆神经网络(LSTM)', '选择性局部注意力']"
基于信任度的社交关系挖掘系统,"['社交网络', '信任度', '隐私保护', '模糊计算', '链路预测']"
融合消息推送技术在高校中的应用,['nan']
运维安全审计系统的设计与实现,"['安全', '运维审计', 'MySQL', 'Django', 'B/S']"
电影个性化推荐系统的构建,"['协同过滤算法', '电影推荐系统', '个性化', '软件工程']"
基于Fabric的图书推荐系统的设计与实现,"['Fabric', '推荐系统', '区块链', '协同过滤']"
基于Vuejs和RestFramework的手续流程网站设计与实现,"['Vuejs框架', 'Rest-Framework框架', '手续流程网站']"
基于单片机的工业微尘检测系统的设计,"['工业微尘浓度', '传感器', 'GP2Y1014AU', '无线通信']"
灾害舆情分析系统的设计与实现,"['灾害舆情分析', 'Django', 'Mysql', 'ECharts', 'B/S模式']"
校园失物招领APP的设计与开发,"['失物招领', 'Django', 'Python']"
基于手势识别的无接触式网盘播放系统应用研究,"['网盘播放系统', 'YOLOv3', 'EfficientNet', 'Django', '手势识别']"
基于视频分析技术的智慧园林客流检测系统研建,"['客流检测', '深度学习', '智慧园林', '多目标跟踪']"
基于Python和Django框架的二级学院资料室图书管理系统设计与实现,"['Python', '二级学院', '图书管理系统']"
企业自动化运维管理系统的设计与实现,"['运维平台', '管理系统', '分布式']"
基于Django的船舶运动预测系统的设计与实现,"['Python', 'Django框架', '风载荷', '预测']"
基于Android的多链路数据安全监测系统设计与实现,"['远程监测', 'Android开发', '多链路数据传输', '数据安全']"
110kV输变电工程监理辅助管理系统的设计与实现,"['工程监理', '记录与评价', '辅助系统']"
基于持续集成的配置管理系统设计与实现,"['持续集成', '配置管理', '成果追踪', '构建透明化', '集成模式']"
Web和App软件功能与接口自动化测试平台的设计与实现,"['持续集成', '自动化测试', '关键字驱动', '页面模型']"
城市单木数据库建设与管理的探索以北京林业大学为例,"['树木管理', '城市林业', '单木识别', 'Django开发']"
基于文本相似度的网络教育平台答疑系统研建,"['文本相似度', 'BERT', '网络教育平台', '答疑系统', '激励机制']"
智慧医养需求可视化系统的分析与设计,"['智慧医养', 'ECharts', '可视化']"
伊犁马营养配方推荐系统的研究与设计,"['伊犁马', '营养配方模型', '目标规划', '系统', 'Django框架']"
基于Django的机床故障在线诊断平台,"['机床故障', '在线检测', 'Python', 'Django']"
面向大数据短文本的高并发语种识别系统的设计与实现,"['大数据', '高并发', '语种识别', 'N-Gram', '朴素贝叶斯', 'uWSGI', 'Nginx', 'Django']"
数据中心智能化运维探索与实践,['nan']
基于Django的汉维地址翻译网络服务的设计与实现,"['命名实体', '地址', '神经机器翻译', 'Django']"
基于改进Faster RCNN的多部位病变检测系统设计与实现,"['CT图像', 'Faster R-CNN', '区域建议网络', '病变检测', 'Django']"
视频监控中的行人跟踪算法研究,"['深度学习', '多目标跟踪', '目标检测', '视频监控']"
光伏发电智能运维系统的设计与实现,"['智能运维', 'Django', 'Echarts', '监控', '告警']"
基于深度神经网络的股票推荐系统的研究与开发,"['金融行业', '股票推荐', '热点信息', '自然语言处理', '图数据库']"
基于图数据库的上市公司知识图谱构建与智能问答系统研究,"['图数据库', '上市公司知识图谱', '智能问答', '循环神经网络', 'django框架']"
基于Django的自助超市数据分析及可视化系统的开发与实现,"['可视化', '数据分析', '自助超市']"
基于Django框架的校园知识共享平台的设计与实现,"['知识共享平台', 'Django框架', '微信小程序']"
基于内容推荐的英语口语系统的设计与实现,"['协同过滤', '单词网络', '蓝思', '爬虫']"
基于Django的电商秒杀系统的设计与实现,"['秒杀系统', '高并发', '缓存', '分布式']"
创伤叙事下美国黑人平权电影中的身体书写,"['创伤叙事', '黑人平权电影', '身体书写']"
基于Django 的汉维人名在线翻译系统,"['汉语', '维吾尔语', '人名', 'Django', '循环神经网络']"
采伐机数据预处理平台研建,"['采伐机数据', '数据清洗', '数据预处理', '清洗规则']"
7家中医院慢性心力衰竭患者信息采集数据库建立及应用研究,"['中医临床', '数据管理', 'Django', '慢性心力衰竭', '房颤']"
基于NLP的招聘数据分析平台的分析与实现,"['招聘数据分析', 'NER', '爬虫', '网站搭建']"
Scratch30角色造型生成的研究与实现,"['Scratch', '生成对抗网络', 'Dense-CartoonGAN', '图像到图像翻译', '样式转换']"
基于Faster RCNN的两轮车载人检测及车流量统计研究,"['两轮车', '乘客', '目标检测', 'Faster R-CNN', '目标追踪', '均值漂移算法', '车流量']"
基于神经网络的急性心梗患者随访管理系统的设计与实现,"['神经网络', '随访系统', '急性心肌梗死', 'B/S架构']"
注塑机智能云平台关键技术研究应用,"['智能注塑', '云平台', '数据库', '注塑生产监控']"
基于ResNet50模型的猪脸识别APP设计研究,"['猪脸识别APP', 'ResNet50', '深度学习', 'MUI框架']"
基于深度卷积神经网络的人体姿态估计,"['深度卷积神经网络', '人体姿态估计', '狄拉克网络', '积分姿势回归']"
面向金融公告的事件抽取研究与实现,"['金融公告', '事件知识库', '远程监督', '事件抽取模型']"
基于Python的医疗专家推荐平台与推荐算法设计,"['医疗专家推荐平台', '推荐算法', '网络爬虫', '设计', '协同过滤-标签组合']"
基于Python的医疗专家推荐系统与混合推荐算法研究,"['医疗专家推荐系统', '推荐算法', '设计', 'Python', '混合推荐算法']"
基于数据库的地铁列车环境振动影响快速预测法,"['地铁振动', '传递函数', '快速预测', 'MySQL数据库', 'Python', 'Django']"
基于深度迁移学习的个性化推荐系统研究,"['迁移学习', '交叉注意', '服务质量', 'Django', '推荐系统']"
基于多源文本分析的机器人领域知识图谱构建,"['知识图谱', '远程监督', '实体关系抽取', '机器人专利', 'Neo4j']"
物品台账的管理和审计研究,"['物品管理', '行政审计', 'Python', '微信公众号']"
光纤传感器BS架构软件的设计与开发,"['布里渊散射', 'B/S架构', 'Django', 'Vue']"
基于多模态的情绪分析系统设计与实现,"['单模态', '多模态', '情绪分析算法', '系统设计与实现']"
基于物联网的叉车设备远程监管平台设计与实现,"['物联网', '叉车设备', '任务优化调度', '远程监管']"
智能水质监控平台的设计与研究,"['水质监测', 'PLC', 'Django', 'SVR', '水质预测']"
基于Web的农产品信息共享平台的研究,"['农业信息化', 'Web平台', '信息发布', 'Django']"
基于Python开源技术的大数据专业实践实训平台,"['Python', '大数据', '实践实训平台']"
基于用户偏好的多约束多目标旅游路线推荐系统,"['旅游路线推荐系统', '个性化', '用户偏好', '推荐算法']"
基于OWA算子改进的灰色聚类法的深基坑绿色施工评价体系研究,"['绿色施工评价', '深基坑', 'OWA算子', '灰色聚类分析方法', 'Web平台']"
基于Web的肺结节智能辅助阅片系统的设计与实现,"['DICOM', 'DICOM图像浏览器', '肺结节', '深度学习', '辅助诊断']"
基于Django的煤矿采动稳定区评估系统的设计与实现,"['Django框架', '煤层气', '数值计算', '软件设计']"
融资租赁业务管理系统的设计与实现,"['融资租赁', '前后端分离', '自主审核流']"
基于Django的协同办公管理系统的设计与实现,"['Django', '协同办公', '工单流程', '遗传算法']"
基于Django的海运包装危险货物管理云平台设计与实现,"['包装危险货物', '海上交通运输', '国际危规', '云平台']"
基于社交网络的地理位置预测研究,"['图卷积神经网络', '图注意力神经网络', '多视图学习', '地理位置预测', '社交网络']"
基于线性判别分析的公理模糊集分类模型研究,"['特征提取', '语义解释', '公理模糊集理论', '机器学习']"
文件小助手安全共享系统的微信小程序实现技术,"['文件小助手', '微信小程序', '安全共享', '手机办公平台', '智能信息检索']"
生物医学命名实体识别及关系提取的研究与系统构建,"['生物医学命名实体识别', '关系提取', 'Glove', 'BLSTM', 'CRF', 'Kindred', 'Django']"
基于Django的智慧社区后台管理系统设计与实现,"['智慧社区', 'Django', 'Python', '后台管理系统']"
北方地区小型养猪场数字化管理系统研究,"['规模化养猪场', 'Django', '数字化管理系统', 'Python', '信息化']"
基于虚拟仪器技术的高铁地震预警测试系统研究,"['地震预警', '高铁地震预警系统', '虚拟仪器技术', '测试系统']"
专利价值评估平台的设计与实现,"['BP神经网络', '专利', '价值评估', '推荐', '爬虫']"
基于机器学习的股票预测及股票推荐系统的设计与实现,"['股票预测', '股票推荐', '舆情分析', 'Django', 'Nginx']"
基于深度学习的创新企业开放语音系统的设计与实现,"['语音识别', '开源系统', '语言模型', 'Django', 'TDNN-f']"
