标题,关键字
基于BS架构及专家系统的带式输送机远程监控系统设计,"['B/S架构', '专家系统', '组态王', 'MySQL数据库', 'SSM框架', '远程监控']"
基于SSM技术的网络安全渗透测试系统的开发,"['SSM框架技术', '网络安全', '渗透测试', '漏洞']"
基于SSM框架的大学英语在线考试平台的设计与实现,"['在线英语学习', 'B/S架构', 'SSM框架', 'MySQL数据库']"
知识库系统在卷烟企业的应用,"['知识库', '在线预览', 'SSM']"
基于SSM框架的二手教材交易平台的设计与实现,"['SSM框架', '软件工程', '电子商务']"
基于Dubbo的家庭医生服务系统的设计与研究,"['Dubbo', '家庭医生', '分布式', '面向服务']"
基于云计算的输电线路缺陷检测平台,"['输电线路缺陷检测', '云计算', '深度学习', 'B/S架构']"
课程思政在Java Web开发教学中的融入,"['课程思政', '工匠精神', '编码规范', 'SSM框架', '课证融合']"
SSM框架在Web应用开发中的设计与实现研究,"['SSM框架', 'Web应用开发', '设计', '实现']"
基于SSM的宠物领养网站设计,"['宠物领养', 'SSM框架', 'B/S结构']"
基于模糊评价模型的医疗服务绩效评价系统设计与实现,"['医疗服务绩效', '模糊综合评价模型', '熵权法', 'K-Means算法']"
基于RFID的枪支管理系统设计与实现,"['射频识别技术', 'SSM', '枪支管理']"
基于SSM框架的供暖收费系统设计与实现,"['供暖系统', '供暖收费业务', 'SSM框架']"
基于SSM的高校食堂就餐系统设计以四川大学锦城学院为例,"['SpringBoot', '食堂管理', 'Vue']"
战后日本女性的主妇化模式变迁研究,"['主妇化模式', '阶段性主妇化', '压缩现代化理论', '时空压缩']"
面向慢性疾病群体的农产品销售推荐系统的设计与实现,"['慢性病患者', '农产品推荐', '协同过滤算法', 'SSM框架', '云服务器']"
基于BIM的建筑设施信息管理系统研究与实现,"['BIM', '设施管理', '信息管理系统', '数据处理', '环境监测']"
基于SSM框架民营科技企业备案系统的研究,['nan']
基于SSM的可视化大学生创新发展运维式系统,"['Web系统开发', 'B/S结构', 'SSM框架', 'MySQL']"
基于SSM框架的高职学生实习管理系统设计与实现,"['管理系统设计', 'Spring框架', 'SSM框架', '信息系统']"
基于数据库技术的大学生健康管理平台,"['健康运动数据', 'MySQL数据库', 'SSM框架', '数据分析']"
基于SSM的离退休管理系统设计与实现,"['离退休管理系统', 'B/S', 'Bootstrap', 'SSM']"
天地一体化网络预约业务的路由编排系统设计与实现,"['天地一体化', '路由编排', '双向A*算法']"
基于文本挖掘的航空不安全态势匹配及预测,"['文本挖掘', '案例构建与匹配', '语义相似模型', 'SSM前缀因子指令匹配算法', '粗糙集属性权重', '直接外推法']"
基于交通安全替代指标的互通出入口影响区实时碰撞风险预测方法,"['交通安全', '互通出入口影响区', '实时碰撞风险预测', '碰撞类型', '替代安全指标', 'XGBoost']"
基于数据挖掘的某公司绩效管理系统研究,"['管理信息系统', '数据挖掘', '关联分析']"
某中小企业的商品后台管理系统的设计与实现,"['电子商务', '商品服务', '后台管理系统']"
基于JAVA的电力公司安监管理系统的设计与实现,"['SAAS', 'B/S', '安全监督', '统一管理']"
广元供电公司重点工作任务督查督办系统的设计与实现,"['重点工作任务', '督查督办', 'JAVAEE技术', 'SSM框架']"
基于SSM框架的通用图像分析工具设计与实现,"['图像分析', '模型推理', '深度学习', '姿态估计', '模板系统']"
移动订餐APP系统的设计与实现,"['订餐APP', 'Android', '交互功能', 'SSM框架', 'MVC架构']"
基于Java与MATLAB的数字图像处理网络平台构建,"['数字图像处理', 'MATLAB', 'JavaEE', 'SSM']"
基于SSM框架的拼团自由玩系统设计与实现,"['SSM框架', '拼团自由玩', '方便快捷']"
基于SSM框架的职业病鉴定管理系统的设计与实现,"['SSM框架', '职业病鉴定管理系统', 'Vue框架']"
基于SSM框架的电子政务系统的研究与实现,"['SSM', 'Spring', 'Spring MVC', 'MyBatis', 'Ajax', '电子政务', '框架']"
基于Java web的学校二手交易市场系统设计,"['Java web', 'SSM框架', '二手交易']"
在线学习平台的设计与实现,"['在线学习', 'B/S架构', 'Java语言', 'SSM框架']"
基于SSM框架的安全阀维修系统设计与实现,"['安全阀维修', 'JSP页面', 'SSM框架', 'MySQL数据库']"
基于SSM框架的学术论坛管理系统设计与实现,"['Spring', 'Spring MVC', 'MyBatis', 'MySQL', '学术论坛管理系统']"
基于SSM框架的学生信息管理系统的开发与应用,"['SSM框架', '学生信息管理系统', '系统设计']"
实现一种基于SSM框架的考试系统研究,"['SSM框架', '考试', '系统设计']"
基于SSM的线上考试系统,"['SSM技术', '考试系统', 'EasyExcel', 'Echarts']"
漂流书箱基于C2C模式下的大学生图书共享平台的设计与实现,"['C2C', 'Web技术', '共享图书']"
基于SSM框架的高校智能化实验报告管理系统设计与实现,"['实验报告', 'SSM', '空间向量模型', '抄袭检测']"
编织网格模型处理及管理系统研究,"['Java', 'SpringBoot', 'MySQL', '文件管理']"
基于SSM框架的社区宠物信息管理系统设计与分析,"['社区宠物', '信息管理系统', 'SSM框架', 'MySQL数据库']"
大学闲置物品交易平台后端的设计与实现,"['闲置物品交易平台后端', 'MySQL', 'SSM']"
基于SSM框架的创业资讯发布系统的设计与实现,"['创业资讯发布系统', 'SSM框架', 'B/S结构', 'MVC模式']"
基于SSM框架的独立本科智慧管理平台设计,"['独立本科', '自学考试', '智慧管理', 'SSM框架']"
基于SSM的大学生实践技能管理系统设计,"['实践技能', 'SSM', '系统设计']"
基于SSM架构考核评价系统设计与实现,"['SSM架构', '考核评价', '应用系统', '考核指标', '汇总分析']"
基于SpringBoot的作业管理系统设计与开发,"['SpringBoot架构', 'B/S结构', '作业管理系统', 'SSM框架']"
基于移动互联网的健身房综合管理系统的研究与实现,"['健身房综合管理', '统一建模语言', '浏览器/服务器架构', '移动互联网']"
智慧村务管理系统的设计与实现,"['乡村振兴', '智慧农业', '村务办公', 'SSM框架']"
基于SSM框架的社交软件运营管理平台的设计与实现,"['SSM', '社交软件', '用户管理', '群组监督']"
温室智能管控应用系统研发,"['温室', '应用系统', '设计', '模糊控制', 'SSM框架']"
基于SSM框架的航空标准体系管理系统的设计与实现,"['标准化', '标准体系', 'SSM框架', '标准化体系管理系统']"
基于工作流引擎高校内控管理系统的设计与实现,"['内控管理系统', '工作流引擎', '分层设计', '蚁群算法']"
基于LSTM的销售预测系统的设计与实现,"['销售预测', '长短期记忆神经网络', 'SSM', '系统设计']"
移动互联网销售管理系统的设计与实现,"['销售', '推荐', 'SSM框架', '管理界面']"
面向专业领域的共享式云写作系统,"['云写作', 'SSM框架', 'ElasticSearch']"
学生网课学习系统的开发与设计,"['自主学习', '在线教育', 'B/S', 'SSM']"
基于SSM的体检预约系统设计与实现,"['体检预约系统', 'SSM', '系统设计', '数据库设计']"
针对留学生的中文名起名系统的设计及实现,"['起名系统', '留学生', '程序设计']"
基于SSM的翻转课堂管理系统的设计与开发,"['翻转课堂', 'SMM框架', 'MySQL数据库']"
基于众包模式的旅游系统研究与设计,"['旅游系统', '众包模式', 'SSM', '任务推荐']"
基于SSM的保险公司营销管理系统的设计与实现,"['保险营销', '营销任务管理', '营销团队管理', 'SSM', 'UML']"
基于SSM框架的文档一体化管理系统研究,"['SSM框架', '档案管理', '信息化', 'B/S架构']"
一种基于知网数据的高职院校科研能力评价系统,"['中国知网', '科研能力评价', 'Hadoop', 'SSM框架', '高职院校']"
基于SSM框架的英语口语测评系统研究,"['在线考试', 'SSM框架', '成绩预测', '成绩管理']"
基于Spring Security认证与授权的Web应用与实现,"['Spring Security组件', 'SpringBoot框架', 'SSM架构', '功能实现']"
基于二维码技术微信小程序技术的实验室设备管理的设计与实现,"['实验室设备管理', '微信小程序', '二维码技术', 'MVVM', 'SSM']"
基于云柜框架的智能共享冰箱平台,"['共享', '匹配闲置资源', 'SSM', '阿里云云服务器']"
一种具有语音播报功能的单独招生平台的设计,"['单独招生', '综合素质测试', 'SSM框架技术', '语音播报']"
基于SSM的酒店管理系统开发,"['酒店管理系统', 'SSM框架', 'MySQL', 'B/S模式']"
基于数据分析的奖助学金管理系统的实现,"['奖、助学金识别管理系统', '精准扶贫', 'MySQL', 'B/S体系', 'SSM框架']"
基于SSM框架的新闻发布管理系统设计与实现,"['SSM框架', '新闻发布', '管理系统', 'B/S模式', 'Spring MVC框架', '数据库设计']"
基于web的房屋租赁系统的设计与实现,"['房屋租赁', 'SSM框架', '房租预测']"
基于SSM的大棚环境参数监测系统设计,"['LoRa', '粮情监测', '系统', 'Java']"
基于SSM的智能仪器设备后台管理系统的设计,['nan']
基于SSM框架的员工管理系统设计与实现,"['MVC', '信息化技术', '数据库']"
基于SSM框架的绿植管理与推荐系统,"['SSM', '物联网', '绿植管理', '推荐']"
一种基于SSM框架技术的航空售票系统的设计与实现,"['航空售票系统', 'B/S', 'SSM框架']"
面向Docker Compose多容器构建管理工具的设计与实现,"['SSM框架', '可视化编辑', 'YAML', 'Docker Compose']"
基于BS架构的拼团购物平台设计与实现,"['拼团购物网站', 'B/S模式', 'SSM框架']"
基于Hadoop云平台的SSM框架在线动态职称评审系统的研究与实现,"['Hadoop', 'SSM框架', '职称评审', '数据存储']"
基于SSM的准能集团合理化建议评估系统,"['合理化建议', 'SSM框架', '工作流', 'Layui', '流程管理']"
基于SSM框架的特殊时期学生返校系统的设计与实现,"['特殊时期', 'SSM框架', '管理系统']"
基于SSM的果鲜生活农产品网站的设计与实现,"['SSM', 'Spring', 'Spring MVC', 'MyBatis', 'Bootstrap', 'MySQL']"
基于SSM框架的特殊材料衡算管理平台的设计与实现,"['特殊材料', '衡算', 'SSM框架', '抽象工厂']"
基于SSM的供电所电子档案管理系统的设计与实现,"['软件工程', '电子档案', '供电所', 'SSM框架']"
基于人脸识别和GPS定位的智能考勤系统设计与实现,"['考勤系统', '人脸识别', 'GPS定位', 'SSM']"
基于GIS的企业专用铁路生产安全管理系统,"['生产安全管理', '地理信息系统（GIS）', 'SSM框架', '企业专用铁路']"
基于SSM的实验课程预约管理系统,"['SSM', '实验课程预约', '管理系统', '系统设计', '数据分析', '实验室信息管理']"
一种应用于翻转课堂的在线计分系统,"['翻转课堂', '在线计分系统', 'SSM框架', 'MVC设计模式']"
基于J2EE的B2C中老农产品电子商务系统研究与设计,"['J2EE', 'SSM框架', 'Struts', '协同过滤']"
基于无线AP网络日志的考勤系统的设计与实现,"['无线AP', '网络日志', 'SSM', '流程引擎', 'OAuth认证', 'Flume']"
新时代房屋展示系统的设计,"['房地产', '房屋展示', 'SSM']"
基于SSM框架的高校心理服务系统的设计,"['SSM框架', '高校', '心理服务', '心理健康']"
基于微信小程序的校园公益帮帮团设计与实现,"['微信小程序', 'ssm', '校园公益', 'uni-app']"
基于Android的移动OA办公系统,"['移动办公', 'SSM', '安卓']"
基于SSM的文创商城的设计与实现,"['文创商域网站', 'SSM框架', '软件测试']"
基于SSM框架的运动会管理系统的设计与实现,"['运动会管理系统', 'B/S结构', 'SSM']"
浅析SSM框架视野下的机械设备管理系统,"['SSM框架', '机械设备', '管理系统']"
面向高校学生以物换物APP的构建,"['高校大学生', '以物换物', 'SSM', 'APP']"
基于SpringBootSSM框架的进销存管理系统设计与实现,"['进销存系统', 'Spring Boot', 'SSM框架']"
支持高并发的购物推荐系统的设计与实现,"['Spring Cloud', 'SSM', '分布式集群', 'Hadoop', '协同过滤']"
GNSSUWB组网定位关键模型及系统,"['GNSS/UWB紧组合定位模型', '定位基站优化选站模型', 'SSM框架']"
基于个性化推荐的农业文化旅游管理平台设计与实现,"['农业文化旅游', '个性化推荐', '协同过滤', 'LDA主题模型', 'SSM架构']"
气象服务API的设计与实现,"['气象服务', 'RESTfull', 'SSM', 'API']"
盾构机刀盘数据管理系统的设计与实现,"['SSM', '数据管理', '可视化']"
谈项目教学法在SSM框架技术课程中的应用和研究,"['SSM框架技术', '项目教学法', '教学活动']"
基于SSM和Java的校园点餐系统,"['校园点餐系统', 'spring框架', '互联网应用软件开发']"
基于SSM的建筑业发展质量评价框架初探,"['建筑业', '发展质量', '发展理念', '软系统方法论']"
医院网络心理咨询平台的设计与开发,"['心理咨询平台', 'SSM', 'JSP']"
一款基于Java Web的橙柑橘柚网站的设计与实现,"['B/S架构', 'SSM框架', 'MySQL数据库', '橙柑橘柚网站']"
一款基于SSM的中华美食网站的设计与实现,"['SSM框架', 'JSP技术', '数据库', '中华美食网站']"
基于SSM的线下商圈服务管理系统设计与实现,"['商圈', 'SSM', 'SUI Mobile', '店铺管理系统', '商圈展示系统']"
企业信用评价管理系统的设计与实现,"['企业信用', '信用评价系统', 'SSM框架', 'MVC设计模式']"
基于SSM框架的组工管理互联信息平台的设计与实现,"['SSM', '组工管理平台', 'B/S架构', '协同办公']"
中西太平洋多金属结壳成矿元素的时空富集规律及其古海洋学意义,"['结壳', 'Co-Os法定年体系', '中、西太平洋', '经、纬、深度恢复', '古海洋环境演化']"
数字化工程勘察资料馆开发及勘察大数据初步分析,"['地质资料', '智能化', '因子分析', '多元线性回归']"
基于SSM框架的资产证券化系统的设计与实现,"['资产证券化', 'SSM框架', '证券管理', '资产筛选']"
基于SSM框架的网上商城系统的设计与实现,"['网上商城', 'SSM', 'Guava', 'Flink']"
基于SSM框架的高校教学管理系统的设计与实现,"['高校教学管理', '教育信息化', '辅助决策', 'SSM框架']"
Design and Implementation of Student Online Question Bank Practice Platform Based on SSM Framework,"['SSM框架', '在线题库平台', 'MyBatis', '互联网+教育']"
基于智能问答的医疗随访系统设计与实现,"['微信小程序', '医疗随访', '智能问答', '预约挂号', '软件设计']"
水功能区限制纳污管理系统研究,"['水功能区', '三条红线', '纳污能力', 'web开发', '综合集成平台']"
基于SVD算法的智能餐饮推荐系统的设计实现,"['SVD', 'SSM', '智能餐饮系统']"
基于柔性驱动的中医腰椎理疗按摩仪研制,"['中医理疗按摩仪', '柔性驱动', '力/频控制', 'SSM框架']"
动车组单车调试系统及单车定位管理系统的设计与实现,"['单车调试', 'RFID定位', 'SSM框架', '数据驱动']"
基于SSM的企业门户交易平台设计与实现,"['MySQL', 'SSM', '门户交易平台']"
基于SSM和WebSocket的云电脑时延可视化系统,"['可视化', 'SSM', 'WebSocket', '时延']"
基于云计算辅助的英语阅读教学应用研究,"['云计算辅助', '英语教学', 'SSM框架']"
基于SSM的智慧纪检监察综合服务平台的设计与实现,"['纪检监察', 'SSM框架', 'PKI/PMI', '安全架构']"
基于J2EE的社区电商平台系统的设计与开发,"['浏览器/服务器', '网购', 'MySQL', '数据库', 'SSM框架', 'JavaEE']"
基于SSM的权限管理系统及数据可视化,"['权限管理', 'RBAC模型', 'Spring', 'Java']"
基于java的企业进销存管理系统,"['java', 'SSM框架', '企业进销存系统', 'My SQL']"
基于微信小程序和二维码的快递收发系统研究与设计,"['微信小程序', '快递', '二维码', 'OAuth', 'Token']"
基于Android移动终端的音视频直播系统设计,"['Android', '音视频直播', 'RTMP协议', 'SSM']"
IPv6环境下智慧课堂知识分享系统的设计开发,"['智慧课堂', 'IPv6', 'SSM框架', '学习分享']"
基于SSM框架的网上购物商城设计与实现,"['SSM框架', 'JavaEE', '网上购物商城']"
Web开发中SSM框架的分析,"['企业级开发', 'Spring', 'Mybatis', 'Springmvc', '框架技术']"
医疗检测仪器的网络化数据平台研究与实现,"['体外诊断', '胶体金免疫检测', '核酸检测', '网络化', 'Android', 'SSM框架']"
装配式建筑评价方法分析及其Web系统的开发应用,"['装配式建筑', '评价标准', 'AHP', 'web系统', 'Java', 'MVC模式', 'SSM框架']"
基于SSM框架的实验室管理系统的设计,"['实验室管理系统', 'Spring', 'Spring MVC', 'MyBatis']"
用于双屏悬浮显示的软件系统的设计与实现,"['内容管理', '悬浮显示', '软件开发']"
信用卡逾期催收系统的设计与实现,"['信用卡逾期', '催收', '特征选择', '智能辅助']"
深基坑工程监测系统的设计与实现,"['深基坑工程监测', '智能预测模型', 'SSM架构', '数据接入通信协议', '双控模式三级预警']"
特定人群的健康数据管理系统的设计与实现,"['老年人', '健康数据管理', '预测', 'SSM框架']"
基于SSM的企业设备管理系统设计与实现,"['企业设备管理', 'SSM', '设备维保', '故障诊断', '状态监测']"
基于轨迹数据分析的兴趣点推荐系统的设计与实现,"['兴趣点推荐', '轨迹数据', '停留点', 'SSM框架']"
中冶赛迪区域生产数据处理系统的设计与实现,"['数据挖掘技术', '区域生产数据处理系统', 'KNIME', '数据挖掘算法', '决策树']"
基于潜在相关性评级模型的推荐系统研究与实现,"['LDA模型', '余弦相似性', '特征权重', '特征评级', '推荐系统']"
基于基站定位的景区自动导览软件系统研究与设计,"['基站定位', '导览系统', 'Spring boot框架', '景区管理', 'RESTful架构']"
基于协同过滤的易车二手车电商系统设计与实现,"['汽车电子商务', '协同过滤', 'SSM框架', 'Mahout']"
智能订单分析及物流延迟预测平台的设计与实现,"['实时数据监控', '数据分析', '延时预测', 'Redshift', 'SSM框架']"
电信运营商客户体验管理系统的设计与实现,"['用户体验管理', '电信运营商', 'CEM', 'SSM', 'SOA']"
基于边缘计算的智能门禁系统的设计与实现,"['MQTT', 'Docker', '边缘计算', '云边协同', '人脸识别']"
基于不完全信息的智能对抗决策模型研究与应用系统开发,"['不完全信息', '不对称信息', '动态博弈', '对抗决策', '深度学习']"
电动汽车充电监控管理系统的设计与实现,"['监控管理系统', '站桩监控', 'SSM', 'Redis', 'InfluxDB']"
基于SSM的复杂环境下交通安全速度预测系统设计与实现,"['公路交通系统', '公路交通安全', '复杂环境', '安全速度预测', 'SSM框架']"
音频广播搜索推荐系统的设计与实现,"['搜索', '推荐', 'SSM框架', 'ElasticSearch']"
音乐电台App部分模块的设计与实现,"['后台管理', '个性化推荐', '模型', '客户端']"
基于人脸图像识别学生宿舍管理系统的设计与实现,"['SSM', '人脸识别', '宿舍管理系统']"
基于Spring架构的智能在线阅读平台研究与设计,"['在线阅读', 'Spring框架', '数据库', '随机抽取']"
便利店数据管理系统的设计与实现,"['社区型便利店', '管理系统', 'Java技术', 'SSM架构']"
基于Spring的仓库管理系统的设计与实现,"['SSM框架', 'mina框架', '自动化仓库', '立体库']"
基于云服务的智慧社区集成应用平台的研究与实现,"['智慧社区', '多用户', 'SaaS平台', '按需服务', '模块化']"
基于SpringMVC框架的双语阅读平台研究与实现,"['班级管理', '双语阅读', '高并发', '信息安全']"
基于Java语言的整车仿真管理平台关键功能研究,"['CAE集成', '流程', 'SSM框架', 'B/S架构']"
基于SSM框架的事故追忆系统设计,['nan']
基于SSM的古诗词平台管理设计与实现,"['古诗词', 'SSM', 'AngularJS', 'ECharts', '可视化']"
某电信企业流程设计器的设计与实现,"['自定义可视化流程设计器', '面向用户', 'SSM框架', 'Canvas技术', '拖拽']"
银行间票据托管系统的设计与实现,"['初始权属登记', '票据到期登记', '回购票据后期管理', 'SSM', 'Oracle']"
乙烯能效评估方法与仓储信息管理系统的实现,"['智能制造', '软测量', '能效', 'SSM', '仓储信息管理系统']"
基于SSM框架的零食在线销售系统的设计与实现,"['SSM框架', 'B/S构架', '零食在线销售系统']"
基于ssm的企业办公系统的设计与实现,"['Java语言', 'ssm框架', '企业办公系统']"
全映苏应校园说校园博客系统的研发,"['博客校园化', 'springMVC', 'ssm', 'bootstrap', 'echarts']"
基于SSM框架和大数据技术的校企协同育人平台设计与实现,"['SSM框架', '大数据技术', '校企协同育人']"
机载安全关键软件模型验证技术研究,"['基于模型的开发', '安全关键软件', 'STPA', '形式化验证', 'RTCA DO-331']"
基于贪心算法的物流配送系统的设计与实现,"['物流', '贪心算法', 'SSM']"
线索提示和学习方式在医学影像病灶搜索中的作用,"['多目标视觉搜索', '医学影像', '后续搜索失误', '眼动追踪']"
核电站变形监测信息管理系统设计与实现,"['核电站', '变形监测', '数据管理', 'SSM', '分析预报', '数据迁移']"
基于SSM的绿植自动浇灌与推荐系统,"['SSM', 'STM32', '自动浇灌系统', '推荐']"
基于SSM框架的智能井盖锁监测管理系统设计与实现,"['井盖锁', '物联网', 'SSM框架', '数据库', '云服务器']"
基于SSM的实时计算任务管理平台的设计与实现,"['Flink', '实时计算', '实时数据仓库']"
基于SSM的轴承选配与出入库管理系统的设计与实现,"['流水线', '信息化', '一体化', '自动选配']"
APP用户反馈信息分析系统的设计与实现,"['在线教育', '用户反馈', '主题模型', '聚类算法']"
基于安卓的图片社交应用的设计与实现,"['Android', '社交应用', '人脸检索技术', 'OKhttp']"
基于微服务架构的高校年度绩效考核系统的设计与实现,"['年度绩效考核', '微服务架构', '高校教师', '信息系统']"
社区安防可视化管理系统的设计与实现,"['社区安防', 'ECharts', '数据可视化', 'SSM框架']"
基于SSM的软件行业质量检测服务平台的设计与实现,"['Spring框架', '质量检测', '高并发']"
基于SSM的分布式商城的设计与实现,"['SSM框架', '分布式', '电子商城']"
基于动态SSM的敦煌市入境旅游客源市场研究,"['入境旅游', '客源市场', '偏离-份额分析法(SSM)', '敦煌市']"
基于AHP和SSM框架在开发高校评奖评优系统应用,"['AHP层次分析法', 'SSM框架', '评奖评优']"
基于SSM框架的社区环境数据可视化系统,"['环境数据', 'SSM框架', '可视化', 'ECharts']"
基于大数据的比特币交易追踪系统的设计与实现,"['比特币', '交易追踪', '数据可视化', 'Vue框架', 'SSM框架']"
基于SSM框架的高校学生综合测评系统设计与实现,"['高校学生综合测评', 'SSM', '轻量级框架']"
基于分布式开发生物医学互联网服务平台的建设,"['生物医学应用', '分布式系统', 'SSM开发框架', '搜索算法', 'Redis数据库']"
基于深度学习算法的光伏发电运维系统关键技术研究,"['深度学习', '光伏阵列污染图像', '光伏发电功率预测', '光伏运维', '阿里云服务器']"
1X证书制度下高职电子信息类专业人才培养模式的改革与实践,"['“1+X”证书制度', '电子信息类专业', '核心课程体系', '人才培养']"
基于SSM框架的毕业设计管理系统设计与实现,"['B/S', 'SSM', '毕业设计']"
基于SSM的网络购物平台的开发,"['Spring', 'SpringMVC', 'Mybatis', '购物平台']"
Maven仓库代码异味趋势分析工具的设计与实现,"['代码异味', '代码异味检测', '代码异味趋势', 'SSM']"
基于Web的高性能智能快递柜管理系统,"['智能快递柜', '管理系统', 'SpringMVC', 'Spring', 'Mybatis', 'Web应用', 'Redis通信']"
物联网安全审计管理系统的设计与实现,"['物联网安全', '安全审计', '日志处理', '态势感知']"
粮情监测与安全预警系统的设计与实现,"['粮情监测', 'Web Service', '安全预警', '决策树']"
基于SSM框架的Java后端代码生成器的设计与实现,"['SSM框架', 'Java Web后端', '模板技术', '代码生成']"
高校科研管理系统的设计与实现,"['高校科研', '信息管理', 'SSM框架', 'B/S架构']"
基于机载激光雷达的单木分割算法研究及系统开发,"['机载激光雷达', '单木分割', '系统开发']"
JavaEE框架课程教学的实验案例设计以校园二手商品交易平台为例,"['JavaEE课程', '实验案例设计', '项目教学', '实验考核方式']"
吊篮租赁服务和运输调度的综合管理系统的设计与实现,"['吊篮租赁服务系统', 'SSM架构', '吊篮订单调度', 'VRP', '蚁群算法', 'Vue']"
基于SSM框架的某供电公司工程项目管理系统设计与实现,"['工程项目管理', 'SSM框架', 'Spring', 'SpringMVC', 'MyBatis']"
谚语信息系统的设计与实现,"['谚语', '信息系统', 'SSM框架', '数据管理']"
基于Suricata的工业控制协议的研究与实现,"['工业控制系统', '工业网络安全', '协议分析', '工业控制协议']"
面向随机多对象动态系统的深度生成式模型,"['动态系统建模', '图神经网络', '时间序列', '状态空间模型', '深度生成式模型', '规整化流']"
动车组牵引能耗仿真系统设计与实现,"['动车组', '牵引能耗', '仿真系统', 'SSM框架']"
基于Hadoop的教学质量管理平台研究,"['教学质量管理', 'Hadoop平台', 'SSM框架', 'Docker容器']"
基于SSM的实验室管理系统的研究与设计,"['实验室管理', '管理信息系统', 'SSM框架', 'Web项目']"
基于ALS和TFIDF的混合推荐在ELearning平台中的应用研究,"['E-Learning平台', '混合推荐算法', '矩阵填充', 'Spark分布式平台']"
基于SSM架构的高校教学过程数据分析系统,"['教学过程', '数据分析', 'SSM框架']"
科研绩效积分管理系统的研究,"['科研积分', 'SSM框架', 'ECharts库', '智慧校园']"
基于SSM书香驿站平台的设计与实现,"['B/S', '系统', '用户', '数据库', '框架', '信息管理']"
基于SSM的选课系统设计与实现,"['选课系统', 'SSM', '系统设计', 'Java']"
基于JavaEE的停车管理系统的设计与实现,"['JavaEE', '停车管理系统', 'SSM框架', 'Bootstrap']"
基于SSM的外聘人员人事管理系统设计与实现,"['外聘人员管理', '人事管理系统', 'Java EE', '框架']"
基于SSM架构的新型约课系统的设计与开发,"['SSM框架', '教育系统', 'MVC']"
基于SSMSpring Security的多角色登录功能后台实现,"['Spring Security', '登录功能', 'SSM', '角色权限']"
物资需求计划审查系统的设计与实现,"['采购需求计划', '数字化转型', '降本增效', '采购规范性', '多部门协同', '全过程可视管控', 'JAVA', 'MYSQL', 'SSM框架']"
区县交警大队辖区网格管理信息系统的设计与实现,"['交警辖区', '网格信息管理', 'SSM', 'MSSQL']"
基于移动支付的饮品自动售货系统设计与开发,"['移动支付', '饮品自动售货', '无人零售', '自动派单']"
空间散射调制系统渐进误比特性能评估与自适应算法设计,"['空间散射调制', '平均误比特率上界', '自适应散射调制']"
面向数值型数据的汉语文本自动生成系统开发,"['NLG', '数值型数据', 'SSM框架', 'MySQL', '文本生成']"
基于遗传算法的智能组卷考试系统的设计与实现,"['智能组卷', '在线考试', '遗传算法', 'JAVA', 'SSM']"
基于敏捷开发的SSM Web应用开发实践,"['敏捷开发', 'Scrum', 'SSM框架', 'Web开发']"
以学生为中心的实践教学案例设计与实现,"['以学生为中心', '实践能力', '学习机理层次模型', '双环模型', '案例']"
基于SSM框架的大坝监测数据管理系统设计,"['SSM框架', '大坝监测', '数据管理', '系统开发']"
校园二手交易平台的设计与实现,"['SSM框架', '二手交易平台', 'Consistent Hash算法', '改进']"
大学英语教材语料库平台的建设研究,"['大学英语教材', '语料库', '平台建设', '自主学习']"
基于机器视觉的图书馆座位管理系统的设计与实现,"['机器视觉', '人脸识别', '人体检测', '座位管理系统']"
智能粮仓监测管理系统的开发与应用,"['粮情监控', 'ZigBee', '决策树', '上位机软件']"
基于SSM框架的餐饮溯源系统的分析与设计,"['SSM框架', '溯源系统', '二维码']"
基于BS架构的血液透析患者排床管理系统开发,"['血液透析', '排床系统', 'BS架构', 'MVC', 'JAVA', '微信']"
基于SSM框架的人脸识别取快递系统的实现,"['人脸识别', '快递', '高效']"
高校实验室信息管理系统设计与应用,"['实验室管理', '管理系统', 'B/S', 'SSM']"
基于语音识别技术的交际软件设计与实现,"['微信小程序', 'WebAPI接口', 'JSON数据', '英语学习软件', 'MySQL', 'Java']"
基于Solr的标准信息检索技术及其优化,"['标准', 'Solr', '检索', '优化']"
SSM框架下的物联网安全管理系统设计,"['物联网', '安全管理系统', 'SSM', 'MySQL']"
基于JavaEE的汽车售后服务管理系统的设计与实现,"['JavaEE', '汽车售后服务管理系统', 'SSM框架', 'Activiti']"
基于SSM框架的证书管理系统的设计与实现,['nan']
基于微信公众号的有书共读系统的设计与实现,"['微信公众号', 'SSM框架', '有书共读系统']"
易职客大学生生活服务平台的设计与实现,"['微信', '大学生', 'O2O', 'SSM框架', 'WEUI框架']"
基于Simhash算法的作业查重系统设计,"['Simhash', 'SSM框架', '作业查重']"
面向REST接口模型的SSM框架多层代码自动生成方法,"['REST接口', '数据访问服务', '建模', '自动化代码生成']"
基于语音技术的车辆检修计算机辅助系统设计与实现,"['语音技术', '车辆检修', 'Julius', 'SAPI', 'SSM']"
基于SSM框架的骨龄智能评测系统的设计与实现,"['骨龄评测', 'SSM框架', '深度学习']"
基于SSM框架的语音管理平台的设计与开发,"['SSM框架', '语音管理', 'Vue框架', 'MySQL', '数据']"
基于WSN与SSM框架的电梯安装健康维保管理平台研究,"['无线传感器网络', '电梯健康评估', 'BP神经网络', 'SSM框架', '数据库']"
基于VueJS的景区管理系统设计与开发,"['景区管理', '视频监控', '票务管理', 'VueJS', 'WebRTC']"
