标题,关键字
基于SSH框架的供应链管理系统的设计与实现,"['供应链管理', 'SSH', 'JAVA']"
法院固定资产管理系统的设计与实现,"['Spring框架', 'Hibernate框架', 'Activiti引擎', 'iText组件', 'Bootstrap框架']"
天津法院诉讼服务终端的设计与实现,"['MVC模式', 'SpringMVC框架', 'Spring框架', 'Hibernate框架']"
法警管理系统的设计与实现,"['法警', 'MVC模式', 'Spring框架', 'SpringBoot框架', 'SpringMVC框架', 'Hibernate框架']"
基于BS架构的高层建筑沉降观测数据管理与分析系统的设计与实现,"['沉降观测', 'Ajax', 'B/S架构', '权限管理', '系统升级']"
人民法院上诉管理系统的设计与实现,"['MVC模式', 'Spring MVC框架', 'Spring框架', 'Hibernate框架']"
天津法院保管款系统的设计与实现,"['JAVA', 'Hibernate', 'SpringMVC', '保管款']"
基于Spring的分享式营销子系统设计与实现,"['“互联网+”产业', '社交软件', '电商平台', '知识分享', '微信公众号', '营销系统']"
软件设计模式课程实验教学系统探索,"['软件工程', '设计模式', 'Spring框架', '教学系统']"
基于SSM框架技术的办公管理系统的研究,"['Spring', 'Spring MVC', 'Mybatis', '办公']"
法院信息化数据标准管理系统的设计与实现,"['MVC模式', 'Spring框架', 'SpringBoot框架', 'MyBatis框架']"
美团点评餐厅在线订座系统的设计与实现,"['餐厅在线订座', 'Struts2框架', 'Spring框架', 'iBatis框架', 'Pigeon框架', 'Memcached缓存系统']"
基于PaaS平台的空气质量监测系统设计与实现,"['PaaS平台', 'Spring框架', 'Python技术']"
基于Spring框架的实习实训过程管理与评价系统,"['实习实训', '管理系统', '网络化教学']"
基于Java EE的押品动态监控管理系统存货子系统的设计与实现,"['Spring MVC框架', 'Hibernate框架', 'WebMagic框架', '货押融资']"
基于JavaEE的企业资源计划系统进销存子系统的设计与实现,"['JavaEE', '企业资源计划', '进销存', 'Bootstrap框架', 'Struts框架', 'Spring框架', 'Hibernate框架']"
E6400指标系统电压综合评估模块的设计与实现,"['指标系统', 'Spring框架', 'MyBatis框架', 'ExtJs框架']"
基于Web的物联网感知层测试实验系统的研究与实现,"['物联网', '感知层', 'J2EE多层体系结构', '能耗测试']"
人民法院执行系统的设计与实现,"['MVC模式', 'SpringMVC', 'Spring', 'Hibernate', 'Xstream', 'XFire']"
人民法院数据质量检查系统的设计与实现,"['Spring框架', 'Hibernate框架', '数据质量']"
分享式销售系统赠送活动子系统的设计与实现,"['销售系统', '微信', 'MVC', 'JAVAEE', 'SpringMVC', 'Spring', 'Mybatis', '赠送活动']"
基于Web的OKR系统的设计与实现,"['OKR工具', 'Spring框架', '目标', '绩效管理', '协作', '关键绩效指标']"
EMS送达管理系统的设计与实现,"['SpringMVC 框架', 'Spring框架', 'Hibernate框架', 'Quartz框架']"
分布式环境中任务下发系统的设计与实现,"['分布式系统', '任务', 'Spring框架', 'ZooKeeper技术']"
江宁公交办公自动化系统的设计与实现,"['办公自动化', 'MVC模式', 'J2EE', 'Spring框架', 'Hibernate框架']"
减刑假释案件系统的设计与实现,"['MVC', 'Spring框架', '管理信息系统', '信息化建设']"
OKR系统OKR模块的设计与实现,"['目标管理', 'OKR方法', 'MVC模式', 'Spring框架', 'Spring MVC框架', 'MyBatis框架']"
裁判文书解析系统的设计与实现,"['裁判文书', 'MVC模式', 'Spring框架', 'Hibernate框架', 'JQuery框架']"
基于Spring框架的消息中间件管控平台的设计与实现,"['云计算', '消息中间件', 'Spring框架', 'React', 'Mysql', 'Maven', 'Nginx']"
司法便民信息服务系统的设计与实现,"['司法便民', 'MVC', 'Spring MVC框架', 'Spring框架', 'Hibernate框架', 'NLPIR汉语分词', '文本相似性算法']"
天津法院执法业绩档案系统的设计与实现,"['MVC模式', 'Spring框架', 'Hibernate框架']"
BS架构网络系统数据库访问性能提升技术及其应用研究,"['B/S架构', '网络系统', '数据库访问', '性能提升', 'Spring框架', '软件测试', 'JMeter']"
共青团基层数据信息综合管理系统的设计与实现,"['B/S架构', 'SSI框架技术', '共青团组织', '管理信息系统']"
Activiti表单技术在企业OA系统中的应用研究,"['OA系统', 'Spring', '工作流技术', 'Activiti工作流引擎']"
基于JavaEE的分享式销售系统的运销子系统的设计与实现,"['Spring MVC框架', 'Spring框架', 'MyBatis框架', 'Velocity', 'Semantic UI']"
法院档案管理系统的设计与实现,"['MVC', '档案管理', 'Spring', 'Hibernate', 'Bootstrap']"
基于SOFA框架的基金平台门户系统设计与实现,"['互联网金融', 'SOFA框架', 'SOA', '模块化开发', 'RPC', '分布式微服务']"
天津法院人民陪审员系统的设计与实现,"['MVC模式', 'Spring框架', 'Hibernate框架']"
基于SSH框架的网络设备管理系统设计与实现,"['网络设备', '设备管理', 'SSH框架']"
网易有钱电子优惠券系统的设计与实现,"['优惠券', 'Spring', 'DAO', 'DDB', 'Redis']"
如皋市人力资源市场信息管理平台的设计与实现,"['人力资源市场', '公共就业服务', 'Spring框架', 'Axis2框架', 'Android']"
基于元数据的软件框架研究及优化,"['软件框架', '元数据', '依赖关系建立', '请求响应映射']"
基于Spring框架的通用网络报名系统设计与实现,"['SSH', '通用', '网络报名']"
基于JSP的MOOC平台的构建,"['MOOC网站', 'JSP语言', 'Spring框架']"
基于SSH的车辆运输管理系统的设计与实现,"['UML', 'SSH框架', '车辆运送管理']"
基于Spring的MVC框架实现Web应用系统设计与实现,"['Spring MVC框架', 'Web应用系统', '设计模式', '控制反转', '面向切面']"
基于JavaEE架构的SSH框架,"['JavaEE架构', 'SSH框架', '系统', '效率']"
基于Activiti工作流的设备维修管理系统的设计与实现,"['设备维修', '设备管理', 'Activiti', '工作流', 'NIO']"
基于O2O的珍贵文献分享服务平台的设计与实现,"['文献分享', '面向对象', '在线服务']"
Java Web程序运用中泛型DAO的作用,"['Spring框架', 'DAO模式', 'Java Web程序']"
基于微信企业号构建的黄河滩区迁安系统,"['微信公众平台企业号', '黄河下游滩区迁安', 'Spring框架']"
基于JavaEE的研究生信息管理系统研究与实现,"['JavaEE', 'SSH', '管理系统']"
物联网综合态势监控系统中的数据提供平台设计与实现,"['物联网', '数据提供', '平台', '异步消息系统', '调度策略', '负载均衡']"
基于角色模型的周期性大规模分布式任务管理框架的研究与实现,"['分布式任务', '角色模型', '周期性', '管理框架', '容错']"
地铁监测实验平台信息发布子系统的设计与实现,"['地铁运营', '状态监测', '信息发布', '数据统计', '权限管理']"
基于J2EE的人力资源管理系统的设计与实现,"['人力资源管理系统', 'J2EE', 'MVC', 'B/S']"
基于J2EE的某部队人事管理系统的设计与实现,"['人事管理系统', 'J2EE架构', 'JSP技术', 'Spring框架']"
基于Spring框架的团委综合管理信息系统的设计与实现,"['团委综合管理', '团建课题', '社会实践', 'Spring框架']"
基于SSM的电力设备管理系统的设计与实现,"['电力设备', '管理系统', 'SSM', 'MVC']"
基于SSI的企业IT资产管理系统设计与实现,"['互联网+', '企业信息化', 'IT资产管理系统', 'B/S结构']"
基于Spring和Hibernate框架的网上购物系统的设计与实现,"['Spring', 'Hibernate', '网上购物系统', '二级缓存']"
林木种质资源地理信息服务平台设计与实现,"['林木种质资源', '地理信息资源共享', '地理信息服务平台', '设计']"
面向环境监测的云平台与移动端系统设计与实现,"['环境监测', '云服务平台', '移动端']"
基于JPA规范的通用泛型DAO模式研究,"['DAO模式', 'JPA规范', '泛型程序设计']"
基于JavaEE的中小企业云管理积分制软件设计与实现,"['云管理', '积分制管理', 'Spring框架', '绑定']"
基于SpringSpringMVCMyBatis网上论坛的设计与实现,"['在线论坛', 'B/S模式', 'Spring框架', '网上社区']"
基于SSSP框架的高职院校迎新系统的设计与实现,"['数字迎新', 'Spring框架', 'Spring MVC', 'Spring Data', 'JPA']"
基于SpringMVC框架的石油生产管理系统的研究与应用,"['石油生产', '视频监测', '数据管理', '物联网', '设备管理']"
呼叫中心外呼系统的设计与实现,"['呼叫中心', '外呼系统', 'Spring框架', 'WebSocket协议']"
基于Spring和MyBatis框架的物业管理系统的设计与实现,"['物业管理系统', 'Spring框架', 'MyBatis框架']"
一个移动物业管理系统的设计与实现,"['移动互联网', '物业管理', 'Spring框架', '安卓']"
海东市农业信息服务系统的设计与实现,"['海东市', '农业信息', '管理信息系统']"
数据管税综合应用平台质量审计子系统的设计与实现,"['数据管税平台', '质量审计', 'Spring框架', 'Hibernate框架']"
基于eSpace程控电话交换机的计费系统二次开发,"['程控电话交换机', '计费系统', 'J2EE', 'eSpace']"
沈阳农商银行代扣费业务管理系统设计与实现,"['代扣费业务', 'Java', 'SQL Server', '三层架构', '管理系统']"
太原旅游职业学院体育器材管理系统的设计与实现,"['体育器材管理', 'Java', 'Struts框架', 'Spring框架', 'Hibernate框架']"
基于知识管理的软件测试信息平台设计与实现,"['软件评测', '知识管理', '测试信息', '资源共享']"
基于SSI框架的车辆购置税申报管理系统的设计与实现,"['车辆购置税', '税务申报', '二维码', 'SSI框架', '车价管理']"
基于SSH的税务管理系统的设计与实现,"['税务管理系统', 'SSH', '网络技术']"
长春市教育城域综合信息平台的设计与实现,"['教育城域', '综合信息平台', '学籍管理', 'Spring框架']"
基于SSH框架的冲印馆管理系统设计与实现,"['数码冲印', 'J2EE平台', 'Struts框架', 'Spring框架', 'Hibernate框架']"
基于微信的智慧校园平台的设计与实现,"['智慧校园', '微信', 'Spring框架']"
基于微信的电子商务平台的设计与实现,"['Spring', '电子商务', '微信']"
艺术指导智能伴奏系统的技术支撑,"['艺术指导', '智能伴奏', '音乐教学']"
SSM框架在Web应用开发中的设计与实现,"['SpringMVC', 'Spring', 'Mybatis', 'Web应用', '框架']"
轻量级Java EE课程的Spring框架教学改革探讨,"['项目驱动', '实践教学', '框架整合', '面向切面的编程', '事务管理']"
基于安卓平台的移动式教学模式研究以高职院校软件开发课程为例,"['安卓平台', '移动式教学', '高职院校', '《软件开发》课程']"
基于层次模型的电能表管理与数据分析方法研究,"['电能表数据分析', '层次模型', 'AdaBoost回归模型', 'SSH框架']"
基于RBAC安全模型的移动应用管理系统设计与实现,"['SpringMVC', 'Spring', 'Hibernate', 'RBAC', 'J2EE', '移动应用']"
明达公司销售系统的设计和实现,"['供应链管理', '客户信息管理', 'Spring框架']"
基于移动互联网的电信行业客户关系管理系统,"['电信行业', '客户关系管理系统', 'Spring框架', 'MongoDB']"
基于Spring的数据库访问技术研究,"['对象关系映射(ORM)', 'JdbcTemplate', 'HibernateTemplate', '持久化']"
电商流量大数据处理系统设计与开发,"['Hadoop', 'Elasticsearch', '数据处理', '电商流量']"
基于SSM的毕业设计管理系统设计与实现,"['SSM', '毕业设计', '管理系统']"
支持微信企业号的OA管理信息系统的设计与实现,"['公众平台', '微信企业号', '移动应用', '企业管理']"
基于spring框架的网上预约挂号平台的设计与实现,"['网上预约挂号', '门诊排班', '号源分配', 'Spring框架']"
基于卫通的船舶设备数据采集管理系统的研究,"['智能感知', '数据采集', 'SOA', '卫星通信']"
基于HBase的工业日志系统设计与实现,"['分布式', 'HBase', '工业日志系统']"
基于REST构架的油田设备管理系统软件的设计,"['设备管理软件', 'Oracle数据库', 'Spring框架', '全生命周期']"
大连口岸关检通关系统的设计和实现,"['单一窗口', 'Flex', 'Spring框架', 'Hibernate框架']"
轻量级开发模式在企业级电子商务系统的应用,"['轻量级', '开发', 'Spring', '框架']"
基于Spring框架的无锡河长制信息管理平台的设计与实现,"['河长制', 'Spring框架', '数字化']"
基于虚拟Hadoop的针对公交大数据架构的设计与实现,"['虚拟Hadoop', 'Spring框架', '公交大数据', '公交准点率', '事故监测']"
基于事件驱动的石油装备产品远程监测系统设计与实现,"['物联网', '事件驱动架构', '发布/订阅', '消息中间件']"
基于JavaEE的中职院校OA办公管理系统的设计与实现,"['协同办公', 'OA系统', '工作流']"
福利彩票业务监控系统的设计与实现,"['监控系统', '福利彩票', 'Spring框架', '监控容器']"
金牛制冷电子商务系统的设计与实现,"['电子商务', '面向对象', 'J2EE', 'Spring', 'MYSQL']"
高邮湿地生态监测系统的设计与实现,"['湿地生态监测系统', 'Spring框架', 'MongoDB', 'Datatables', 'Highcharts']"
J2EE应用系统数据库连接加密方法初探,"['数据库', '安全配置', '加密算法', 'J2EE应用系统']"
基于Hadoop的视频侦查辅助平台的设计与实现,"['视频侦查', 'SSH框架', 'Hadoop', 'Lucene']"
互联网金融理财平台的设计与实现,"['互联网金融', '理财平台', 'Spring MVC', 'J2EE']"
高校领域的电商软件平台的设计及开发,"['校园', '电子商务平台', 'S2SH', '分层架构']"
国际远程教学平台设计与实现,"['海外教育', '国际', '远程教学', 'Spring框架']"
银行移动营销平台安全机制研究与系统实现,"['移动营销', 'SpringMVC', '安全机制', '细粒度加密']"
基于深度学习的情感识别开放平台,"['开放平台', '深度学习', '情感识别', '卷积神经网络', 'Spring框架', 'OAuth协议']"
基于多层架构的油田物资管理系统设计与实现,"['多层架构', '油田物资管理系统', '框架', '系统设计']"
基于SSH的在线问卷调查系统的设计与实现,"['在线问卷调查', '数据收集', '数据分析', '框架']"
基于SSM框架轻量级的分布式高考成绩管理系统设计与实现,"['分布式', '成绩管理系统', 'SSM框架', 'HDFS']"
面向农产品的电子商务平台设计与实现,"['农产品', 'SSH框架', 'WEB系统', '电子商务']"
基于分布式云平台视频存储及管理,"['Hadoop', '云存储', '分布式转码', '云计算']"
基于J2EE与JBPM的物流管理系统的设计与实现,"['物流管理', 'SSH框架', 'JBPM工作流引擎', 'SSL协议']"
基于JAVAWEB的P2P网贷平台的设计与实现,"['互联网金融', '网贷', '数字摘要', '加密算法']"
基于AngularjsJ2EE的K12阅读互动平台的设计与实现,"['Angular.js', 'J2EE', '负载均衡集群']"
基于JADE的航空订票系统的研究与实现,"['航空订票', 'JADE框架', 'Spring', 'Mybatis', 'C/S模型']"
电子商务M站系统的设计与实现,"['电子商务平台', '手机网站', 'SSH框架', '服务']"
基于Spring的在线云笔记系统的设计与实现,"['云笔记', '云技术', '信息管理']"
基于J2EE的在线购物网站设计与实现,"['J2EE', '电子商务', 'MVC设计模式', 'Struts框架', 'Hibernate']"
基于MultiAgent的海上钻井平台分布式监控系统研究,"['Multi-Agent理论', '海上钻井平台', 'XML', 'Spring', 'MVC']"
家庭农场信息化管理系统的设计与实现,"['信息化', '管理系统', '家庭农场', '产品溯源']"
网上银行管理系统的设计与实现,"['网上银行管理系统', '数据库设计', '系统测试']"
基于J2EE架构的税务风险管理系统的设计与开发,"['J2EE', '税务', '风险', 'B/S']"
基于BDGPSGIS的物流车辆管理系统的设计与实现,"['BD', 'GPS', 'GIS', '物流', '物流车辆', '管理系统', '数据库', 'B/S模式']"
城市规划监测评估管理信息系统设计与实现,"['城市规划', '监测评估', '管理信息系统', 'Eclipse', 'Spring框架']"
基于电子政务的政府服务系统,"['政府办公', '政务服务大厅', '政务系统', '系统部署']"
基于Spring的学生就业求职管理系统的设计与实现,"['学生就业', '管理系统', 'Spring Framework', '面向对象', 'B/S']"
齐齐哈尔工会管理局帮扶工作管理系统的设计与实现,"['帮扶管理系统', '工会管理', '技能培训', 'SSH']"
呼铁局职工教育管理系统的设计与开发,"['职工教育培训管理系统', '建模工具', 'Java开源框架', 'Oracle数据库']"
基于SSH框架的危化品物流管理系统的设计与实现,"['危化品运输', 'MVC架构', 'SSH框架', '车辆定位', '状态监测']"
德惠市纪检委综合管理系统的设计与实现,"['纪检委', 'J2EE开发技术', 'SHH框架', 'Oracle数据库']"
基于J2EE的党建信息化管理系统的设计与实现,"['党建信息化', 'J2EE', 'SSH', 'AJAX']"
基于SSH框架的企业固定资产管理系统的设计与实现,"['资产管理', 'J2EE平台', '资产预警', 'SSH框架']"
闵行招商中心综合业务平台的研究与开发,"['信息化管理', '招商资源', 'Spring', 'Echarts']"
基于Web的DCM图像解析和三维重建可视化,"['医学影像', 'DCM图像解析', '三维渲染']"
基于SSI框架的上架费管理系统的设计与实现,"['上架费系统', 'MVC模式', 'Struts框架', 'Spring框架', 'Ibatis框架']"
基于微服务架构模式的猿辅导后台管理系统的设计与实现,"['K12', '微服务架构模式', 'Spring Boot', 'Thrift', 'RabbitMQ']"
基于WIFI热点的商户服务系统的设计与实现,"['WiFi热点', 'MVC模式', 'Dubbo框架']"
面向移动互联网的个性化推荐系统的设计与实现,"['移动互联网络', '个性化新闻推荐', '混合推荐算法', '移动跨平台']"
基于WEB的实验信息管理系统设计与实现,"['JAVA EE', 'WEB', 'Spring框架', 'MVC', '实验信息', '信息管理系统']"
InnoTREE股权投融资平台的设计与实现,"['股权众筹', 'Spring框架', 'WAP', 'Echarts']"
松辽流域防洪调度系统技术研究与应用,"['调度体系', '组件化', '设计模式', '微服务架构', 'Spring框架']"
基于SSH的电影院网上订票系统的设计与实现,"['SSH整合架构', '网上订票', '查询优化', 'MVC']"
基于社区挖掘的网络学习平台研究与开发,"['社区挖掘', 'SCORM', '网络学习平台', '数据处理']"
分类分级企业信息管理平台的设计与实现,"['企业信息管理', '分类分级', 'RPC机制', 'Spring框架']"
OMAD系统的设计与实现,"['Spring框架', 'MVC模式', 'Quartz框架', 'XMPP协议']"
旅游社区服务端的设计与实现,"['旅游信息', '社区系统', 'RediS', 'J2EE', 'MVC模式']"
面向SOA架构微服务的安全系统的设计与实现,"['REST', '认证', '授权', '安全性']"
基于SpringMVC和MyBatis框架的炒股比赛系统的设计与实现,"['Spring框架', 'SpringMVC框架', 'MyBatis框架', 'Redis存储系统']"
大众点评免费电话订座系统的设计与实现,"['餐饮O2O', '在线订座', '免费电话', 'SSI框架']"
百度开放云财务系统通用财务子系统的设计与实现,"['JAVA', 'RESTful服务', 'Spring Boot框架', 'MyBatis框架', '财务软件']"
基于J2EE的展会助手系统的设计与实现,"['展会', 'Spring框架', 'MyBatis框架', 'Struts2框架', 'Jersey']"
统一软件构建管理系统UBP的设计与实现,"['Java EE', 'Flex', 'WebService']"
基于任务的海量保险数据处理系统设计与实现,"['大数据', 'odps', 'HBase', 'MyBatis框架', 'Spring框架']"
Yeepay接口自动化测试系统的设计与实现,"['MVC模式', 'Java反射', 'Spring框架']"
基于Maven的CWAP框架基础单元层和基础服务层的设计与实现,"['CWAP框架', 'Maven', 'MVC模式', 'Spring框架']"
基于J2EE技术的微商城系统中前台模块的设计与实现,"['微商城系统', 'Spring框架', 'Mybatis框架', 'FreeMarker', 'AmazeUI']"
某部装备维修保障系统的设计与实现,"['装备维修保障', 'B/S架构', 'Java EE', 'Spring框架']"
易宝微信支付系统的设计与实现,"['微信', '移动支付', 'Spring框架', 'MVC']"
基于映射的角色访问控制模型的设计与实现,"['石油行业', '跨操作系统', '映射', '角色访问控制模型']"
基于事务版本管理的构件动态更新技术研究,"['动态构件更新', '事务一致性', '事务标记']"
基于商业智能的ERP系统研究与开发,"['ERP', 'J2EE', 'SSH', 'MVC']"
基于SSM的家居远程控制系统的设计与实现,"['远程控制', '智能家居', 'Web', 'SSM', 'ZigBee']"
苗圃苗木交易平台研建,"['苗圃苗木交易', '电子商务平台', 'Spring框架', 'B/S架构']"
服装生产管理信息系统设计与实现,"['B/S模式', '服装生产管理', '管理信息系统', 'J2EE', 'S2SH框架']"
基于XenServer的VMs在线管理系统设计与实现,"['XenServer', '虚拟服务器', 'B/S', 'Spring', 'JSP']"
可扩展高校排名管理系统设计与实现,"['Struts框架', 'Spring框架', 'Hibernate框架', '可扩展']"
Java SSH框架在Java Web中的应用,"['Java', 'ssh框架', 'Java Web', '应用']"
贵州商学院奖惩系统的设计与实现,"['奖惩管理', '奖惩系统', 'J2EE', '数据库设计']"
代码缺陷检测云平台作业调度的设计与实现,"['代码缺陷检测', '作业调度', 'MapReduce计算模型', '分布式', '虚拟化']"
银行管理系统的研究与实现,"['Spring MVC', 'UML', '数据挖掘']"
上海信息网络大客户业务管理系统设计与实现,"['大客户', '业务管理', '计费营收', '信网公司']"
基于云计算的计算机辅助诊断及远程诊断平台研究,"['远程诊断', '计算机辅助诊断', '人机智能融合', '云计算', 'javaEE']"
云环境中基于BPaaS模式的轻量级流程引擎的设计和实现,"['业务流程即服务', '多租户', 'jBPM', 'Activiti', '业务流程管理']"
基于SSH框架的飞机票分销管理系统设计与实现,"['框架技术', '浏览器服务器结构', '机票分销管理系统']"
基于MVC设计模式的SSH框架的研究,"['设计模式', 'MVC模式', 'SSH框架']"
基于网络的丝绸图案创意系统的设计与实现,"['MVC设计模式', 'SSH开发框架', 'MySQL数据库', 'SaaS', 'FabricJS', 'XML']"
基于Spring的定时器的应用实现,"['定时器', 'Timer', 'Quatz']"
污染源在线监测系统研究,"['污染源', '在线监测', '数据审核', '熵值法', '污染源区域排污量评价模型']"
基于轻量级整合框架的电子校历系统,"['Spring', 'Struts2', 'IBatis', '框架']"
物联网RFID技术在KG公司生产流程中的应用研究,"['物联网', '服装', 'RFID', 'FCFS', 'GA']"
J2EE平台标准下的SPRING 30轻量级框架技术概述,"['Spring框架', 'J2EE开发', '依赖注入', '面向切面编程']"
基于SAAS模式的飞机故障管理系统的研究与实现,"['管理信息系统', 'SaaS', 'UML', 'Spring']"
移动智能设备监控系统的设计与实现,"['设备监控', '移动终端', 'android', '内存数据库']"
基于Java EE技术的网上综合办税系统设计与实现,"['网上综合办税', 'Java EE', '业务重组', '信息交互', 'Oracle']"
基于Web的建筑材料数据管理系统设计与实现,"['B/S模式', 'MVC', 'SQL Server 2005', '建筑材料数据管理']"
基于Web技术的企业电子文档管理系统设计与实现,"['档案管理', 'Java EE技术', 'UML建模', 'MVC设计模式']"
高校毕业设计论文管理系统设计与实现,"['B/S结构模式', '信息管理', 'SSH', '双向选择']"
辽宁省优秀科技工作者评审系统的设计与实现,"['推荐', '评审', '综合管理', '申报信息', 'Spring框架']"
分布式网络地图服务平台关键技术研究,"['WebGIS', 'OGC', 'SpringMVC', '网络地图服务', '服务器监控']"
基于BS架构的银行数据管理系统的设计与实现,"['银行数据管理系统', '数据迁移', '数据质量管理', '功能测试']"
基于SSH框架的陕西省省直机关后勤综合服务平台设计与实现,"['后勤服务', 'SSH框架', '统一访问', 'Web安全', '网站系统']"
基于JBPM工作流技术的动产动态质押系统的设计,"['工作流', '贸易融资系统', '信息技术', 'JAVA业务流程管理']"
基于Chrome浏览器插件的爬虫系统,"['网络爬虫', 'Chrome扩展', 'JavaScript', 'Netty', '主从库']"
基于Spring框架的餐饮食品安全监管平台的设计与实现,"['餐饮食品安全', '监管平台', 'Spring框架']"
证券行业网上产品商城系统的设计与实现,"['互联网金融', '网上产品商城系统', '证券行业', '金融创新']"
基于Web技术的银行信贷管理系统设计与实现,"['J2EE', '决策支持', '统一建模语言', '信息系统']"
手机基站数据采集与定位系统的设计与实现,"['手机', '基站定位', '数据采集', '数据挖掘']"
基于SSH的设备运维系统的设计与实现,"['Struts', 'Spring', 'Hibernate', '政府信息化建设']"
环保项目审批管理系统的设计与实现,"['审批管理', 'Spring框架', 'MongoDB数据库', '自动审批']"
基于企业日常工作的设备管理系统,"['Struts', '设备管理系统', 'J2EE']"
基于Spring的API自动化测试系统的设计与实现,"['API', 'Spring框架', 'TestNG框架', 'DAO模式']"
重庆电子工程职业学院办公自动化管理系统的设计与实现,"['办公自动化', 'J2EE', 'MVC', 'Hibernate', 'Struts']"
潍坊市铁路段职工教育管理信息系统的设计与实现,"['B/S', 'J2EE', '职工培训管理', 'Sqlserver数据库']"
关检合作通关系统的设计和实现,"['单一窗口', 'Flex', 'Spring框架', 'Hibernate框架']"
基于pro tools数字音频工作站的视频网站的设计与实现,"['Pro Tools音频工作站', '教学', '音频', '编辑窗口', '混合窗口']"
基于JBPM工作流的保险理赔系统的设计及实现,"['工作流', 'JBPM', '保险', '非车', '理赔']"
基于SSH的代码生成器研究与教学应用,"['代码生成', 'SSH', '模板引擎', '教学']"
基于Web服务的PAR方法辅助教学系统的研发,"['PAR方法', 'Web Service', 'CXF', 'Spring', 'Apla']"
基于MVC的高校学生信息管理系统的设计与实现,"['学生信息管理系统', 'MVC', 'WebWork', 'FreeMarker']"
基于Flex和J2EE框架的中职学校会计教学系统的设计与实现,"['会计教学系统', 'Hibernate', 'Flex', 'Spring']"
基于Java Web的网上培训报名系统的设计与实现,"['报名系统', '软件开发', '信息化', 'Java Web']"
基于SSH2的公安人事管理系统的研究与实现,"['公安人事管理', 'SSH2', 'Struts2', 'Spring', 'Hibernate']"
建设银行跨行归集系统的设计与实现,"['建设银行归集', '实时处理技术', 'JAVA', 'MySQL']"
园林绿化信息管理系统设计与实现,"['园林绿化', '信息管理', 'Spring框架']"
基于Java的电力设备管理系统的设计与实现,"['SSH', '电力设备', '管理系统']"
基于SSH框架的信号机日方案配置系统的设计与实现,"['计算机应用', '集中协调式信号机', 'MIS系统', 'SSH', 'My SQL']"
SSH框架在信号机管理系统配置方案中的应用与研究,"['B/S架构', 'SSH框架', '信号机管理系统配置方案', 'java', 'MySQL']"
公安案件现场照片管理系统的设计与实现,"['现场照片', '数据库', 'MVC', 'spring框架']"
中铁十八局建筑物资管理系统的设计与实现,"['建筑物资管理', '信息化', 'B/S架构']"
基于Java EE的政法信息共享和协同办案系统,"['信息共享', '协同办案', 'JavaEE', 'Spring', 'MyBatis']"
陕国院学生工作管理系统的设计与实现,"['学生工作', '管理信息系统', 'B/S架构', 'MVC设计模式']"
Java智能教学辅助系统的设计与实现,"['Java智能教学系统', '在线编译', '题库', '可视化叙述式电子书']"
基于WebService技术的制证跟踪查询系统研究与应用,"['Web Service', 'SOAP', 'WDSL', 'CXF', 'Spring框架']"
在线预订业务数据查询展示系统的设计与实现,"['MVC模式', 'Struts2框架', 'Spring框架', 'MyBatis框架']"
互联网信访系统的设计与实现,"['互联网信访', 'JAVA', 'MVC模式', 'Struts框架', 'Spring框架', 'Hibernate框架']"
法院人事系统查询统计模块的设计与实现,"['法院人事系统', 'Spring', 'Hibernate', '查询统计']"
徐州法院车辆管理系统的设计与实现,"['MVC模式', 'SpringMVC框架', 'Spring框架', 'Hibernate框架']"
天津法院数据报送系统的设计与实现,"['信息孤岛', '数据交换', 'Spring框架', 'Hibernate框架']"
天津市人民陪审员系统的设计与实现,"['Spring框架', 'SpringMVC框架', 'Hibernate框架']"
基于Spring框架的中间API系统的设计与实现,"['MVC模式', 'Spring框架', 'JSON数据格式', 'App应用', '中间层']"
阿波罗急速上单系统的设计与实现,"['Spring框架', 'Struts框架', 'iBatis框架', 'SOA框架', '状态机']"
工作流系统的设计与实现,"['BPMN 2.0', 'MVC模式', 'Struts框架', 'Spring框架', 'Ibatis框架']"
富士通知识中心之产品手册检索技术设计与实现,"['知识中心', '手册检索', 'MVC模式', 'Spring框架', 'Mybatis框架', 'Solr搜索引擎']"
客户端API自动化测试系统的设计与实现,"['API', 'Spring框架', 'TestNG框架', 'DAO模式']"
基于J2EE的法院审判决策系统的设计与实现,"['审判决策', 'B/S模式', 'Spring框架', 'Hibernate框架']"
书记员考评系统的设计与实现,"['MVC模式', 'Spring框架', 'Hibernate框架', '数据库']"
甘肃法院信访系统的设计与实现,"['MVC', 'Spring MVC 框架', 'Spring 框架', 'Hibernate 框架', 'PowerBuilder']"
基于微信公众平台的缺陷管理系统的设计与实现,"['缺陷', '微信', 'Spring框架', 'Hibernate框架']"
定西市执行案件关联系统的设计与实现,"['Spring框架', 'Hibernate框架', 'Grunt构建工具', 'Modernizr库']"
基于日志分析的销售推荐系统的设计与实现,"['销售机会', '容量预测', '推荐系统', 'B/S模式']"
基于多层框架的数字校园毕业生离校管理系统的设计,"['MVC', '多框架', 'Struts2', 'Spring', 'Hibernate', '管理信息系统']"
基于Groovy的通用交易监控报警系统的设计与实现,"['监控', '报警', '交易', '日志', 'Groovy']"
高校科研管理信息系统的设计与实现,"['科研管理', 'B/S', 'JavaEE']"
农信社个人贷款系统设计与实现,"['个人信贷', '农信社', 'Oracle', 'J2EE', 'SSH']"
基于Java的普通高校科研管理系统设计与实现,"['Java EE', 'Oracle', '三层结构', '科研管理']"
